Instancia,Mejor posible,Primer mejor,Aleatorio,Optimo
chr12a,12833.2,13130.2,34148.8,9552
chr15a,15936.4,15004.5,43616.4,9896
chr20a,3398.8,3328.3,9086.6,2298
nug21,2579.6,2502,3454.2,2438
chr22a,6945.6,7294.1,11814,6156
nug24,3685.6,3624.8,4586.9,3488
chr25a,5768.4,5740.1,18706.7,3796
nug27,5392.4,5543.3,6642.6,5234
nug28,5386.5,5325,6434,5166
lipa30a,13273.5,13272.4,13880,13178
ste36a,10798,10710,21406.3,9526
lipa40a,31650,31770.2,32520.1,31538
sko42,16445.5,16066.7,19812.1,15812
wil50,49338,49544,55894,48816
lipa50a,62326,62320.4,63844.2,62093
sko56,35539.3,35108.4,41446.2,34458
lipa60a,108402.6,108362,110316.8,107218
lipa70a,171228.6,171218,174510.1,169755
sko72,68120.6,68072.9,78536.5,66256
lipa80a,255178,255242,259048,253195
sko81,93160.7,92474.8,108354.9,90998
lipa90a,361080,361570.5,367048,360630
sko100a,155578.7,154780.3,178636.2,152002
esc128,66,76,326,64
tai256c,44975794,44950742.2,53359164.7,44759294
